#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
          102       15.563      23.6598     0.501554
          103      15.5552      23.5811     0.502855
          104      16.3001      23.5111     0.502894
          105      17.0205      23.4493     0.501902
          106      17.0205      23.3886      0.50083
          107      17.8592      23.3369     0.498812
          108        18.36      23.2908     0.496316
          109      18.1455      23.2436     0.494002
          110      16.6512      23.1837     0.493145
          111      16.3526      23.1222     0.492542
          112      16.3526      23.0617     0.491853
          113      15.9269      22.9986     0.491553
          114      15.9269      22.9366     0.491155
          115      16.3689      22.8794     0.490203
          116      16.3689      22.8233     0.489189
          117      15.6357      22.7619     0.488866
          118      15.2318      22.6981     0.488888
          119      15.1635      22.6348     0.488879
          120      15.4649       22.575     0.488456
          121      15.2313      22.5143      0.48819
          122      15.2313      22.4546     0.487838
          123      14.5253      22.3902     0.488131
          124      13.3143       22.317      0.48968
          125      13.3662      22.2454     0.490996
          126      13.1538      22.1732     0.492399
          127      12.9177      22.1003     0.493913
          128      12.5744      22.0259     0.495658
          129      12.5744      21.9526     0.497228
          130      13.9766      21.8913     0.497188
          131      14.4163      21.8342     0.496667
          132      14.4163       21.778     0.496083
          133      14.2572      21.7215     0.495576
          134      13.2617      21.6583     0.495899
          135       13.612      21.5987     0.495807
          136        14.83       21.549     0.494658
          137      13.1845      21.4879     0.494816
          138      14.3249       21.436     0.493952
          139      12.9924      21.3753     0.494133
          140       11.556      21.3051     0.495579
          141      10.8765      21.2312      0.49758
          142      11.5808      21.1632     0.498715
          143      11.5808      21.0962     0.499729
          144      11.5808      21.0301     0.500626
          145      13.4125      20.9776      0.49993
          146      13.9512      20.9295     0.498821
          147      14.6153      20.8865     0.497274
          148        14.69      20.8446     0.495674
          149      14.9177      20.8049     0.493941
          150      14.0446      20.7598     0.492702
          151      12.5659      20.7055     0.492428
          152      11.7987      20.6469     0.492674
          153      10.6904      20.5819     0.493751
          154      10.6904      20.5176     0.494721
          155      10.2598      20.4514     0.495955
          156      9.00185       20.378     0.498201
          157      9.00185      20.3056     0.500293
          158      9.53009      20.2374     0.501773
          159      9.53009        20.17     0.503134
          160      10.1108      20.1072     0.503917
          161      9.69728      20.0425     0.504934
          162      9.69728      19.9787     0.505854
          163      9.69728      19.9156     0.506683
          164      9.69728      19.8533     0.507424
          165      9.98847      19.7935      0.50787
          166      9.28146      19.7302     0.508758
          167      9.09682      19.6665     0.509695
          168      8.56392      19.6004     0.510944
          169      9.96648      19.5434     0.511101
          170      9.97766      19.4871     0.511192
          171      9.97766      19.4315     0.511227
          172       10.421      19.3791     0.510939
          173      10.0588      19.3253     0.510826
          174      10.0588       19.272     0.510666
          175      9.62703      19.2169     0.510722
          176      10.3269      19.1664     0.510318
          177       10.607       19.118     0.509726
          178      9.69577      19.0651      0.50961
          179      10.6976      19.0183     0.508907
          180      10.6976      18.9721     0.508179
          181      10.0173      18.9226     0.507779
          182      10.8742      18.8784     0.506914
          183      9.83297       18.829     0.506554
          184      9.83297      18.7801      0.50616
          185      9.83297      18.7317     0.505734
          186       9.5884      18.6826     0.505404
          187      9.35491      18.6327     0.505163
          188      9.64881      18.5849     0.504736
          189      10.3705      18.5414     0.503936
          190      10.3705      18.4984     0.503118
          191      10.6688      18.4574     0.502153
          192       9.2191      18.4093     0.501843
          193      8.26267      18.3568     0.501996
          194      8.56826      18.3063     0.501945
          195       8.2064      18.2545     0.502043
          196      7.81662      18.2013     0.502306
          197      6.19847      18.1403      0.50345
          198      5.91586      18.0786     0.504691
          199      5.91586      18.0175     0.505855
          200      5.22565      17.9535     0.507367
          201      5.22565      17.8902     0.508792
          202      4.70051      17.8249      0.51046
          203      5.61679      17.7648     0.511487
          204      5.61679      17.7052     0.512445
          205      6.35714      17.6498     0.512935
          206      6.30189      17.5948     0.513403
          207      6.87864       17.543     0.513533
          208       7.0943      17.4928     0.513521
          209      7.68915      17.4458     0.513206
          210      7.68915      17.3994     0.512865
          211      8.60552      17.3577     0.512128
          212      8.60552      17.3164     0.511375
          213      8.59507      17.2755     0.510613
          214      8.58264      17.2349     0.509842
          215       8.4591       17.194     0.509104
          216       8.4591      17.1536     0.508353
          217      9.00692      17.1161     0.507396
          218      9.05982      17.0791     0.506413
          219      10.4668      17.0489     0.504999
          220      10.4391      17.0189     0.503595
          221      10.4391      16.9891     0.502194
          222      9.27479      16.9543     0.501133
          223      7.76688      16.9131     0.500579
          224      7.01026      16.8689     0.500297
          225      6.45379      16.8226     0.500215
          226      6.45379      16.7768     0.500105
          227      5.55194      16.7273     0.500347
          228      4.75651      16.6748     0.500907
          229      4.75651      16.6228     0.501423
          230      4.75651      16.5712     0.501897
          231      4.75651        16.52      0.50233
          232      6.24541      16.4757     0.502117
          233      6.24541      16.4318     0.501882
          234      6.30236      16.3886     0.501604
          235      6.65665      16.3471     0.501178
          236      7.11546       16.308     0.500581
          237      6.55236      16.2669     0.500161
          238      6.55236       16.226     0.499725
          239       6.6811      16.1861      0.49923
          240      6.38153      16.1453     0.498821
          241      6.38153      16.1047     0.498396
          242      7.33604      16.0685     0.497653
          243      7.23901      16.0322     0.496931
          244      7.23901      15.9961     0.496201
          245      8.24875      15.9645     0.495182
          246      7.96491       15.932     0.494236
          247      7.40595      15.8975      0.49344
          248       6.8484       15.861     0.492799
          249      5.24868      15.8184     0.492663
          250      5.24868      15.7761     0.492506
          251      5.24868      15.7341      0.49233
          252      5.24868      15.6925     0.492134
          253      4.54328      15.6485     0.492162
          254      4.54328      15.6047     0.492166
          255      4.70756       15.562     0.492092
          256      4.47635      15.5187     0.492075
          257      4.51236      15.4759     0.492024
          258      4.51236      15.4334     0.491952
          259      4.03496      15.3894     0.492021
          260      4.03496      15.3457     0.492066
          261      4.03496      15.3024     0.492089
          262       3.7965      15.2585     0.492171
          263       3.7965      15.2149     0.492229
          264       3.7965      15.1716     0.492265
          265      5.93783      15.1368      0.49164
          266      5.93783      15.1022     0.491007
          267      5.63549      15.0667     0.490448
          268      5.63549      15.0315      0.48988
          269      4.89961      14.9939     0.489507
          270      5.58151       14.959     0.488935
          271      5.51076      14.9242     0.488374
          272      6.28414      14.8924     0.487611
          273      6.28414      14.8609     0.486843
          274      6.31228      14.8297     0.486066
          275       5.6896      14.7964     0.485434
          276      5.27622      14.7619     0.484901
          277      5.27622      14.7277     0.484359
          278      5.17917      14.6933     0.483834
          279      4.11447      14.6554     0.483586
          280      3.76122      14.6165     0.483424
          281      2.72863      14.5742     0.483554
          282      4.16591      14.5373     0.483248
          283       4.5861      14.5021      0.48282
          284      3.84158      14.4646     0.482579
          285      3.84158      14.4273     0.482325
          286      3.84158      14.3903     0.482059
          287        3.764      14.3533     0.481801
          288      5.06253       14.321     0.481208
          289      4.48618       14.287     0.480746
          290      3.61956      14.2502     0.480495
          291      4.23643      14.2158     0.480076
          292      3.41217      14.1788     0.479857
          293      3.29262      14.1416     0.479658
          294      4.70589      14.1096       0.4791
          295      5.57124      14.0806      0.47835
          296      5.57124      14.0519     0.477597
          297      6.67136       14.027     0.476634
          298      6.67136      14.0023     0.475673
          299      6.67136      13.9778     0.474713
          300       8.0671      13.9581     0.473538
          301      6.74386      13.9341      0.47257
          302      6.74386      13.9103     0.471604
          303      5.82411      13.8836     0.470802
          304      5.90292      13.8574     0.469985
          305       5.6471      13.8305     0.469214
          306      5.47697      13.8032     0.468474
          307      5.47697      13.7761     0.467733
          308      5.45668       13.749     0.466994
          309      5.91501      13.7237      0.46617
          310      5.46667      13.6971     0.465426
          311      5.46667      13.6706     0.464682
          312       6.5335      13.6477     0.463754
          313      6.98277      13.6264      0.46276
          314       6.8272      13.6048     0.461792
          315      7.35166      13.5849     0.460752
          316      7.98095      13.5672     0.459634
          317      7.63267      13.5485     0.458564
          318      7.77127      13.5303      0.45748
          319      7.77127      13.5122     0.456401
          320      7.59648      13.4938     0.455348
          321      7.59648      13.4754     0.454299
          322      6.28059       13.453     0.453437
          323      4.61509      13.4257     0.452858
          324      4.53079      13.3982     0.452292
          325      4.48396      13.3708     0.451732
          326      5.01657      13.3452     0.451073
          327      5.01424      13.3197     0.450412
          328      5.37089      13.2955      0.44969
          329      5.37089      13.2714     0.448968
          330      5.37089      13.2474     0.448245
          331      5.37089      13.2236     0.447522
          332      5.30952      13.1998     0.446808
          333      5.42175      13.1764     0.446077
          334      5.48287      13.1534     0.445335
          335       5.6533       13.131     0.444568
          336      4.95243      13.1067     0.443911
          337      4.95243      13.0825     0.443252
          338      4.95243      13.0584     0.442593
          339      5.19179      13.0352     0.441895
          340      4.66986      13.0106      0.44128
          341      5.27844      12.9879     0.440568
          342      5.27844      12.9654     0.439856
          343      5.08043      12.9424     0.439174
          344      5.98456      12.9222     0.438362
          345      4.66338      12.8982     0.437745
          346      4.17317       12.873     0.437205
          347      4.17317       12.848     0.436664
          348       3.8774      12.8222      0.43617
          349      2.50657      12.7926     0.435922
          350      3.08307      12.7649     0.435559
          351      3.25306      12.7378     0.435161
          352      2.45196      12.7086     0.434905
          353      2.45196      12.6795     0.434644
          354      2.87311      12.6518     0.434299
          355      2.87311      12.6243     0.433949
          356      3.66643      12.5991     0.433459
          357      3.66643      12.5741     0.432967
          358      4.64703      12.5519     0.432323
          359       4.9487      12.5307     0.431637
          360      4.81074      12.5093      0.43097
          361      4.98868      12.4885     0.430279
          362      4.98868      12.4678     0.429589
          363      5.96694      12.4498     0.428778
          364      5.96694       12.432     0.427969
          365      5.96694      12.4143     0.427162
          366      5.37246      12.3951     0.426428
          367      6.32791      12.3786     0.425586
          368      6.78968      12.3634     0.424699
          369      7.34691      12.3498     0.423765
          370      7.88817      12.3377      0.42279
          371      8.45134      12.3272     0.421779
          372      7.39845       12.314     0.420852
          373      5.94895      12.2969     0.420069
          374      4.75804      12.2768     0.419429
          375      4.25396      12.2554     0.418856
          376      4.25396      12.2341     0.418282
          377      5.26314      12.2156     0.417581
          378      5.23373      12.1971     0.416884
          379      5.23373      12.1788     0.416188
          380       5.5069      12.1612     0.415463
          381      5.91018      12.1448     0.414696
          382      5.70801      12.1279     0.413952
          383      5.01965      12.1094     0.413286
          384      5.01965      12.0909     0.412622
          385      6.16288      12.0755     0.411837
          386      6.16288      12.0602     0.411054
          387      5.40137       12.043     0.410351
          388      5.40137      12.0259      0.40965
          389      4.99664      12.0078     0.408995
          390      4.99664      11.9898     0.408341
          391      4.99664      11.9719     0.407688
          392      4.69137      11.9534      0.40707
          393      3.47726      11.9318     0.406606
          394      5.20929      11.9147     0.405931
          395      5.06554      11.8974     0.405273
          396      5.06554      11.8802     0.404616
          397      4.51195      11.8616     0.404022
          398      4.48295      11.8431     0.403432
          399      4.48295      11.8246     0.402842
          400      4.29538      11.8058     0.402275
          401      4.00213      11.7863     0.401742
          402      4.44811      11.7681     0.401157
          403      5.24147      11.7519     0.400488
          404      4.46936      11.7338     0.399902
          405      4.46936      11.7159     0.399316
          406      6.35024      11.7027      0.39855
          407      6.09517      11.6889     0.397809
          408      5.43541      11.6736     0.397128
          409      5.57572      11.6587     0.396437
          410      5.15302      11.6428     0.395787
          411       5.8527      11.6287     0.395074
          412      5.37926      11.6136     0.394406
          413      6.17215      11.6004      0.39367
          414      5.47695      11.5856     0.392996
          415      5.68249      11.5714     0.392306
          416      4.85546      11.5552     0.391695
          417       4.6578      11.5387     0.391104
          418       4.6578      11.5222     0.390515
          419      4.01909      11.5043     0.389993
          420      4.01909      11.4865     0.389471
          421      3.45421      11.4674     0.389013
          422       3.7888      11.4492     0.388517
          423       4.3782      11.4325     0.387957
          424      4.69239      11.4166     0.387367
          425      4.76032      11.4009     0.386772
          426      4.76032      11.3854     0.386178
          427      6.26925      11.3734     0.385459
          428      6.23323      11.3614     0.384745
          429      6.23323      11.3494     0.384033
          430      5.28094      11.3353     0.383398
          431      4.11609      11.3185     0.382874
          432      3.88084      11.3013     0.382375
          433      3.85409      11.2841     0.381878
          434      4.05352      11.2675     0.381361
          435      4.50442      11.2519     0.380801
          436       4.8142      11.2372     0.380214
          437      4.76032      11.2223     0.379632
          438      5.22032      11.2086     0.379012
          439      6.11665       11.197     0.378326
          440      7.26356      11.1881     0.377571
          441      7.08151      11.1788     0.376829
          442      7.08151      11.1695     0.376089
          443      6.21022      11.1583     0.375406
          444      5.16701      11.1448     0.374803
          445       5.1434      11.1313     0.374203
          446       5.1434      11.1179     0.373604
          447       5.4956      11.1053      0.37298
          448      5.77433      11.0934     0.372336
          449       4.3361      11.0784     0.371811
          450      3.14703      11.0608     0.371402
          451      2.88873      11.0426      0.37102
          452      2.41576      11.0236      0.37069
          453      2.82786      11.0055     0.370313
          454      3.07507       10.988     0.369909
          455      1.21819      10.9665      0.36972
          456      1.21819      10.9451     0.369527
          457      2.94349      10.9276     0.369133
          458      2.37276       10.909     0.368799
          459      2.37276      10.8904     0.368465
          460      2.32954      10.8717     0.368133
          461      2.32954      10.8532     0.367801
          462      2.32954      10.8348     0.367468
          463      2.32954      10.8164     0.367133
          464      3.69836      10.8011     0.366662
          465      3.49729      10.7854     0.366209
          466      3.49729      10.7697     0.365757
          467       4.0282      10.7553     0.365259
          468      3.29715      10.7393     0.364826
          469      4.43649      10.7259     0.364295
          470       4.6193      10.7129     0.363751
          471      4.32902      10.6994     0.363231
          472      4.32902      10.6859     0.362712
          473      3.77262      10.6712     0.362239
          474      4.52321      10.6583     0.361707
          475      4.87376      10.6461      0.36115
          476      4.31111      10.6328     0.360636
          477      5.29185      10.6216     0.360053
          478      7.36109      10.6148     0.359364
          479      7.19668      10.6076     0.358684
          480      7.19668      10.6005     0.358006
          481      8.25889      10.5957     0.357294
          482      7.34477      10.5889     0.356616
          483      7.34477      10.5822      0.35594
          484      8.06553       10.577     0.355242
          485      7.60403      10.5709     0.354562
          486      7.03852      10.5636     0.353906
          487      7.52772      10.5574     0.353234
          488      8.34416      10.5528     0.352539
          489      9.09509      10.5498     0.351829
          490      8.37199      10.5454     0.351139
          491       7.9513      10.5401     0.350463
          492      8.69251      10.5364      0.34977
          493      10.5105      10.5363      0.34906
          494       10.739      10.5367     0.348353
          495      9.84989      10.5353     0.347651
          496      9.58244      10.5334     0.346955
          497      9.58244      10.5315     0.346261
          498      9.49488      10.5294     0.345571
          499      10.0762      10.5285     0.344879
          500      8.31704      10.5241     0.344217
