#      	   X:		    Y:		  	 Z:
      19.1721     -4.34745      7.02977
      18.6224      -4.3696      7.74143
      18.1412     -4.37959      8.52792
      18.3308     -5.30622      9.02965
      17.2164      -4.7154      8.99977
      17.0207     -4.22971      9.02133
      16.6855     -5.40361       7.5668
      15.8675     -5.56705      7.16259
      15.5907     -6.78765       8.4739
      16.4145     -6.30771      7.31949
      16.7167     -6.64124      7.52294
      16.7167     -6.64124      7.52294
      15.2464     -7.12425      7.62686
      14.6586     -6.85092      8.99525
      14.6586     -6.85092      8.99525
      14.3705     -7.18602      8.00397
      14.3705     -7.18602      8.00397
      14.3705     -7.18602      8.00397
      15.4296     -5.93212      8.40933
      15.4296     -5.93212      8.40933
       14.348     -7.32794       7.0376
      15.3982     -6.90116      7.96901
       14.696     -7.64629      9.19065
      13.4995     -8.31177      8.14773
      14.3812     -7.03907      6.85527
      14.6351     -5.83691      6.08433
      14.4268     -4.72023      5.04025
      15.1032      -3.2647      5.89244
      14.4428     -3.02969      7.28256
      14.4738     -3.35482      6.78211
      14.3494     -2.31135      7.35379
      15.6223     -2.11424      7.48043
      15.6223     -2.11424      7.48043
      15.7047     -0.76098      6.55791
      14.5155    0.0566423      6.40013
      15.1745    -0.194703      6.43045
      14.3365      1.05779      5.63718
      13.8696     0.683125      7.08954
      13.0908      1.53451      8.31053
      12.1656     0.322939      9.70069
       13.182     0.514854      8.24227
       13.741     0.349671        8.761
      13.5883    -0.929017      10.2075
      13.5883    -0.929017      10.2075
       15.081    -0.984877      9.51545
      16.1558     -2.24062       8.4297
      16.3293      -3.3286      7.17858
      15.0583     -2.17134      6.76721
      14.3653     -2.87389      7.26536
      14.3653     -2.87389      7.26536
      14.3461     -2.87801      6.29075
      14.3461     -2.87801      6.29075
      14.7528     -3.20335      6.32724
      14.7528     -3.20335      6.32724
      14.1342     -4.22822      5.17908
      13.0779     -4.51046      6.37431
      13.0626     -3.33776      6.93969
      13.0096     -4.03573      7.32303
      13.4003     -4.02256       6.0204
      13.4003     -4.02256       6.0204
      13.1464     -3.85554      4.82605
      12.1384     -3.42261      4.26808
      12.7269     -2.14137      3.47773
      12.1597     -2.51612      4.33989
      11.3894     -3.55869      4.94823
      11.1265     -3.59565      4.62471
      11.1265     -3.59565      4.62471
      11.9748     -4.07858      5.94264
      12.4648      -3.6467      6.25792
      12.4648      -3.6467      6.25792
      12.7042     -3.21224      5.61725
      11.6332     -4.53678      4.46756
      12.5782     -3.31216      4.01316
      13.8777     -4.15772      3.17062
      12.3792     -4.18527      1.75178
      13.7952     -3.32283      1.96328
      12.4885     -1.97721      2.98851
      11.1857     -1.90205      2.19131
      10.5917     -1.72815      1.76826
      10.9845     -3.00098      2.10987
      10.9845     -3.00098      2.10987
      10.9845     -3.00098      2.10987
      12.2829      -4.1441      3.44296
       12.617      -5.0073      3.22113
      12.6153     -6.13062      4.10795
      12.8361      -6.0591      3.78383
      12.8699     -6.01583        4.551
      12.2851     -5.36748      4.18536
      11.4678     -3.89219      3.35315
      10.4976     -3.73515      3.88035
      9.30422     -3.77672       3.6679
      9.30422     -3.77672       3.6679
      9.01851     -2.81633      3.99983
      7.57273     -3.46543      3.41727
      7.57273     -3.46543      3.41727
      8.39062     -2.67976      3.63854
      8.39062     -2.67976      3.63854
      8.43185     -2.70389      4.88079
      7.10358     -3.08781      5.83454
      7.10358     -3.08781      5.83454
      7.10358     -3.08781      5.83454
      7.10358     -3.08781      5.83454
      6.64845     -2.41025      7.05395
      7.09547     -1.45274      5.80426
      6.53249     -1.03818      6.24507
      6.97264     0.338911      4.96066
       8.3408      1.47996      5.25086
      8.96114      1.08574      4.25122
      8.96114      1.08574      4.25122
      9.81908      1.83452      2.96959
       9.2098      1.99358      3.51911
       9.2098      1.99358      3.51911
      8.99618     0.556097      3.38219
      9.33701    -0.899831      4.31928
      9.02879     0.106125      5.56586
      8.48871     -1.07215      4.56073
       9.5766     -2.16092      4.24953
       9.5766     -2.16092      4.24953
      8.93473     -3.32874      3.07181
      8.95984     -4.67011      4.01989
      7.68645     -4.03151      4.62089
      7.68645     -4.03151      4.62089
      7.68645     -4.03151      4.62089
      7.93007     -3.51243      4.08831
      6.56984     -3.68497      5.54731
      6.38698     -3.15608      6.50732
      7.05684      -2.4007      7.21002
      7.05684      -2.4007      7.21002
      7.01565     -1.07984      7.96477
      5.99936     -2.38628      6.58066
      5.70865     -3.00821      5.16079
      5.78921     -1.78451      6.05935
      5.68602    -0.299115      5.90972
      4.42167     0.849508      6.38957
      3.04967    -0.473097      5.37556
      2.95004     -1.03062      5.02319
      2.95004     -1.03062      5.02319
      3.54784    -0.753265      3.76203
      3.54784    -0.753265      3.76203
      2.83147    -0.186677      3.74736
      3.63121      1.11862      4.13658
      3.63121      1.11862      4.13658
      4.73399      2.11468      3.67841
      4.16216       2.1483      4.21605
       3.6374      1.36266      5.67698
       3.4765      1.96322       5.8642
      3.39631     0.999504      6.82562
      3.39631     0.999504      6.82562
      2.88512     0.953792      8.05117
      2.88512     0.953792      8.05117
      4.22662      1.56934      7.31766
      5.09568     0.604524       6.8797
      6.43701     0.426818      5.47166
      6.43701     0.426818      5.47166
       6.8485     0.219951      5.84587
      7.56367     -1.05838       4.8735
      8.51045    -0.649724      6.05834
      9.01091     0.761431      5.21513
      9.01091     0.761431      5.21513
      7.90065      1.10108      4.73171
      6.59977      1.30551      3.88112
      5.95329      2.66918      2.56467
      4.95568      1.58756      3.81736
      4.95568      1.58756      3.81736
      4.16791      2.25218      2.89487
       3.1048      3.08081      1.86901
       3.1048      3.08081      1.86901
       3.1048      3.08081      1.86901
       3.1048      3.08081      1.86901
      3.15324      4.35943      3.17137
      3.15324      4.35943      3.17137
      3.40842       3.4624      4.01425
      3.57165      4.55988      3.28052
      4.62436      4.11695      3.50653
      4.35367      4.19054      2.53343
      4.35367      4.19054      2.53343
      2.95627      4.96637      3.35152
      4.11461      3.80811      3.04832
      4.11461      3.80811      3.04832
      3.71613      5.18514      3.62244
      4.58739      4.65447      3.11367
      4.58739      4.65447      3.11367
      4.87978      6.03475      2.79489
      3.64797      6.66612       2.3864
       3.3109      6.36622       1.8323
      2.83046      5.69302      2.54531
      1.50119      4.78032      1.56321
      1.50119      4.78032      1.56321
      1.50119      4.78032      1.56321
      1.50119      4.78032      1.56321
      1.75144      3.77776      1.81724
      1.75144      3.77776      1.81724
      2.59416      3.20852      2.26645
      1.77119      3.20037      2.58036
       1.0203      4.06534      1.67137
       1.0203      4.06534      1.67137
      1.94745       2.6621      2.32414
      1.94745       2.6621      2.32414
      1.94745       2.6621      2.32414
      3.11973       1.5299      1.52975
      3.11973       1.5299      1.52975
      3.11973       1.5299      1.52975
      4.56705      2.33414      2.99193
      4.56705      2.33414      2.99193
      4.12193      3.29113      1.98415
      4.12193      3.29113      1.98415
      3.22891      2.14409       2.9972
      3.49684     0.982682       4.2379
      3.83442     0.665783       3.9016
      5.06712      1.37287      3.45397
      5.06712      1.37287      3.45397
      4.03419     0.374139      4.84047
       3.2336      1.39392      4.46904
       3.8963     0.186868       3.5528
       3.8963     0.186868       3.5528
      2.60322     -1.13332      4.33158
      2.27944    -0.861054      3.31536
     0.795905     -1.12199      3.50063
    -0.441726    -0.257302      2.68032
     -1.29614    -0.504109      3.92693
    -0.126808     0.786579      4.51636
     0.606502     0.447644       3.7669
     0.606502     0.447644       3.7669
     0.606502     0.447644       3.7669
     0.949002  8.47395e-05       3.6424
      1.10451     0.154582      4.93815
        2.425   -0.0442381      3.77402
      2.31873      1.34758      2.43079
      2.38561      1.67252      3.07552
      2.93016     0.275474       1.7266
      1.54284     0.440145      2.87529
     0.861855      1.91669      4.21057
      1.58053      3.30209      4.19962
      1.58053      3.30209      4.19962
      2.73584      2.76526      5.41992
      2.73584      2.76526      5.41992
      2.73584      2.76526      5.41992
       3.9271      3.17881      6.28897
      3.08659      2.85944      5.27032
      3.08659      2.85944      5.27032
      2.11278      3.41773       4.2161
      2.50281      2.03071      4.94536
      3.07977     0.802904      4.66477
      3.00208      1.18741      4.42434
      3.00208      1.18741      4.42434
       1.6384       2.2834       4.6773
     0.201213      1.52622      5.71118
      1.47156      1.13114      5.14194
      1.47156      1.13114      5.14194
     0.536059      1.61249      6.30866
      0.63532     0.602198      6.92768
      1.16941        1.027      6.64744
      2.18237      1.35239      6.88877
      2.94335      0.30268      7.41219
      4.27884      1.43814      6.15475
      2.81394     0.521629      7.22511
      2.81394     0.521629      7.22511
      3.91665     0.332789      6.50044
      3.91665     0.332789      6.50044
      3.05547     0.183691      5.48417
      1.66248     -1.10532      4.16094
       1.5228     -2.16988      3.67434
      2.84938    -0.683538      3.39408
      1.78188    -0.433553      4.66936
      1.97192     0.256388      4.60308
     0.967665    -0.826749      5.21791
     0.967665    -0.826749      5.21791
     0.967665    -0.826749      5.21791
     0.967665    -0.826749      5.21791
     0.551788      0.47828      5.25907
      1.88686    0.0789365      5.08222
      3.10984    -0.706246      4.46004
      3.73869     0.315683      4.22875
        2.528    0.0809534      4.25784
        2.528    0.0809534      4.25784
        2.528    0.0809534      4.25784
      2.17293   -0.0634695      4.71477
      2.49603     -1.54731      3.63087
      1.53992     -1.35405      4.86386
      1.53992     -1.35405      4.86386
     0.625964     -2.34569      4.46282
   -0.0564731      -1.4494      5.80612
   -0.0235752   0.00469986      4.66331
     0.122482     0.818192      4.09035
     0.122482     0.818192      4.09035
     0.162782      2.23013      3.16769
    -0.562976      1.74946      1.70451
     -1.17739     0.497462      2.80564
     -0.53962     0.462958      3.17441
    -0.157339      1.58003      1.86839
    -0.157339      1.58003      1.86839
    -0.962043     0.285731      2.69214
    -0.962043     0.285731      2.69214
      -2.4141     -1.03694      2.55727
      -2.4141     -1.03694      2.55727
     -2.71987     -2.11333      3.11945
     -1.25779     -2.60072      4.01794
    -0.380505     -1.63113      4.50975
    -0.245359     -3.09712      3.90315
    -0.245359     -3.09712      3.90315
     -0.51706     -3.58226      4.74389
     -0.51706     -3.58226      4.74389
     -0.51706     -3.58226      4.74389
     -0.58902      -2.8358      4.52489
     0.568765     -2.33037      5.85562
    -0.573011     -3.35866      5.87289
     -1.76021     -4.12135      5.82178
    -0.327598     -3.19338      7.20543
     0.770924     -3.11322      7.81913
   -0.0218307     -2.19778      7.06445
     0.668756    -0.742449      5.86443
     0.909064    -0.125854      4.66869
      1.04259     0.992135      4.00311
      1.04259     0.992135      4.00311
     0.333442      1.18153      5.11795
      1.41824      2.31795      4.47298
      1.41824      2.31795      4.47298
      2.37292      3.71629      3.29915
      1.19688      4.67589      3.41083
      1.28192      4.75152      2.89157
       1.3491      3.82439      2.95818
       1.3491      3.82439      2.95818
       1.3242      4.59992      3.88179
       1.3242      4.59992      3.88179
      1.49167       4.4726      2.63545
      1.49167       4.4726      2.63545
     0.474324      3.51494      3.51946
     0.474324      3.51494      3.51946
     0.474324      3.51494      3.51946
     -0.89164      2.92475      3.55805
    -0.920122       2.1869      2.54209
     0.233954      3.35992      3.97403
     0.844489      2.68826      4.20949
     0.844489      2.68826      4.20949
      1.94057       1.9456      3.57862
      3.40628      0.99897      2.73791
      3.40628      0.99897      2.73791
      2.13691     0.453441      3.69842
      2.68457    -0.404315      2.94052
      2.89018     -1.34057       3.1041
      2.93543     -2.49689      3.55272
      3.09426     -1.82506      2.65892
      3.09426     -1.82506      2.65892
      3.85236     -3.00173      4.05887
      2.90195     -3.56337      4.00402
      1.53413      -4.1109      3.20791
      2.94845     -3.23143      3.45733
      1.74498     -2.63982      4.06695
       2.1339     -1.19226      5.31781
      1.26668    -0.711325      5.17938
      1.42496      -1.0372      5.91516
    0.0235647    -0.436848      5.45945
    -0.980845     -1.10428      5.48719
     -1.21308    0.0466572      4.70125
    -0.385573     0.097069       4.6408
    -0.385573     0.097069       4.6408
     0.442516     0.875198       3.8976
     0.442516     0.875198       3.8976
     0.432828       2.0864      2.71867
       1.2309      1.92741      3.02076
      1.55981       1.7888      3.67911
      2.24515      1.40506      3.87346
      1.75594      2.29057      3.78558
      1.75594      2.29057      3.78558
      3.04555      3.29508      4.37842
      3.59291      2.57308      4.39584
      3.59291      2.57308      4.39584
      2.56944      2.46352      3.90095
      1.49747      1.65089      3.46039
      2.18153      2.31357      2.22469
      1.57941      2.52184      2.44944
     0.458545      1.05645      3.88647
      1.94069      1.45338      3.79621
      2.81201      0.94519      3.79153
       2.1515      1.41063      4.00522
      1.14961     0.182708      5.08889
      1.27497   -0.0273806      5.98224
     0.666778    0.0268863      7.23284
     0.862327     -1.20011       6.9256
     0.862327     -1.20011       6.9256
    -0.629771     -2.65485      5.57871
     0.256206     -1.39206      4.96935
     -1.23716     -2.46993      4.33859
     -1.23716     -2.46993      4.33859
     -2.50812     -1.58693      4.62521
        -1.22     -2.10668      5.23607
     -1.45311     -1.10572      3.93289
    0.0214807     -1.86687      2.53341
      1.06618     -1.64081      2.12504
     0.343416     -2.17336     0.997225
    -0.511624     -1.96051      1.97267
     -1.28615     -1.03959      2.59252
    -0.170877   -0.0580894      1.20475
    -0.170877   -0.0580894      1.20475
      1.16399    0.0568095      2.70297
    0.0168745    -0.975994      2.16267
    0.0168745    -0.975994      2.16267
     -0.28119    -0.342691      2.28697
     -0.28119    -0.342691      2.28697
     -0.28119    -0.342691      2.28697
     -0.28119    -0.342691      2.28697
     -1.70397     0.742199      3.19743
     -1.19779     0.414346      3.25955
     -1.19779     0.414346      3.25955
      0.12751    -0.619942      3.97817
     0.426502     -1.39708      2.95592
   0.00102849     -0.12492      4.43473
      1.11254   -0.0913302      4.48239
     0.738232     0.103298      4.26436
     0.738232     0.103298      4.26436
     0.853665     -0.40069      3.65286
      0.51693    -0.930718      4.39613
    -0.557286     0.461467      4.81976
     -1.91137      1.65255      3.49306
     -3.31965     0.469269      4.09431
     -4.40307      1.88334      5.59032
     -5.24637     0.900583      4.84321
     -5.24637     0.900583      4.84321
     -6.35674     0.906289      5.19419
     -5.07721      1.34704      5.13352
     -5.07721      1.34704      5.13352
     -4.91663     0.163237      6.39163
     -5.30563    -0.179699      5.44419
       -5.459    -0.981473      4.33322
     -5.49849    -0.548715      5.11197
     -5.10296     -0.21209      6.59846
     -6.16999     0.732574      6.64192
     -6.53055     0.307661      5.22948
     -6.41385     0.585414      4.66293
     -6.46548    -0.610506      5.77794
      -7.8756    -0.271949      6.95493
     -6.81443    -0.029168      8.29989
     -5.71673     0.119669      8.02029
     -4.42923      1.18123      8.41485
     -4.42923      1.18123      8.41485
     -5.68434       1.3562      7.48343
     -4.83697     0.919491      8.79135
     -3.74244    -0.414551      7.41589
